longitude,latitude,altitude,yaw,state_x,state_y,state_yaw
0.093225,-0.0111045,0.068,0.0167992,0.0791602,-0.0100547,1.58073
0.093225,-0.0111045,0.068,0.0168475,0.0799785,-0.0100499,1.58073
0.093225,-0.0111045,0.068,0.0168673,0.0807492,-0.0100454,1.58073
0.093225,-0.0111045,0.068,0.0168764,0.0814749,-0.0100411,1.58072
0.093225,-0.0111045,0.068,0.016897,0.0821585,-0.0100371,1.58072
0.093225,-0.0111045,0.068,0.0169355,0.0828022,-0.0100333,1.58072
0.093225,-0.0111045,0.068,0.0169432,0.0834084,-0.0100298,1.58071
0.093225,-0.0111045,0.068,0.0169731,0.0839794,-0.0100264,1.58071
0.093225,-0.0111045,0.068,0.0169991,0.0845171,-0.0100233,1.58071
0.093225,-0.0111045,0.068,0.0170003,0.0850234,-0.0100203,1.58071
0.093225,-0.0111045,0.068,0.0170421,0.0855003,-0.0100175,1.5807
0.093225,-0.0111045,0.068,0.017076,0.0859495,-0.0100148,1.5807
0.093225,-0.0111045,0.068,0.0171011,0.0863725,-0.0100124,1.5807
0.093225,-0.0111045,0.068,0.0171554,0.0867708,-0.01001,1.5807
0.093225,-0.0111045,0.068,0.0172156,0.087146,-0.0100078,1.5807
0.093225,-0.0111045,0.068,0.0172337,0.0874993,-0.0100058,1.58069
0.093225,-0.0111045,0.068,0.017242,0.087832,-0.0100038,1.58069
0.093225,-0.0111045,0.068,0.0172869,0.0881454,-0.010002,1.58069
0.093225,-0.0111045,0.068,0.0173071,0.0884405,-0.0100003,1.58069
0.110175,-0.0111045,0.075,0.0173405,0.0897055,-0.010008,1.58068
0.110175,-0.0111045,0.075,0.0178822,0.0908968,-0.0100154,1.58067
0.110175,-0.0111045,0.075,0.0179001,0.0920188,-0.0100223,1.58067
0.110175,-0.0111045,0.075,0.0179177,0.0930754,-0.0100288,1.58066
0.110175,-0.0111045,0.075,0.0179521,0.0940705,-0.0100349,1.58065
0.110175,-0.0111045,0.075,0.0179965,0.0950077,-0.0100407,1.58065
0.110175,-0.0111045,0.075,0.0180008,0.0958903,-0.0100461,1.58064
0.110175,-0.0111045,0.075,0.0180011,0.0967215,-0.0100513,1.58064
0.110175,-0.0111045,0.075,0.0180002,0.0975043,-0.010056,1.58063
0.110175,-0.0111045,0.075,0.0180176,0.0982415,-0.0100606,1.58063
0.110175,-0.0111045,0.075,0.0180577,0.0989358,-0.0100649,1.58062
0.110175,-0.0111045,0.075,0.018081,0.0995897,-0.0100689,1.58062
0.110175,-0.0111045,0.075,0.01812,0.100205,-0.0100727,1.58062
0.110175,-0.0111045,0.075,0.0181499,0.100785,-0.0100763,1.58061
0.110175,-0.0111045,0.075,0.0181642,0.101332,-0.0100796,1.58061
0.110175,-0.0111045,0.075,0.0181876,0.101846,-0.0100828,1.58061
0.110175,-0.0111045,0.075,0.0182048,0.10233,-0.0100858,1.5806
0.110175,-0.0111045,0.075,0.0182099,0.102787,-0.0100886,1.5806
0.110175,-0.0111045,0.075,0.0182351,0.103216,-0.0100912,1.5806
0.110175,-0.0111045,0.075,0.0182453,0.103621,-0.0100937,1.5806
0.110175,-0.0111045,0.075,0.018275,0.104002,-0.0100961,1.58059
0.110175,-0.0111045,0.075,0.0182898,0.104361,-0.0100983,1.58059
0.110175,-0.0111045,0.075,0.0183009,0.104699,-0.0101004,1.58059
0.110175,-0.0111045,0.075,0.0183349,0.105017,-0.0101023,1.58059
0.110175,-0.0111045,0.075,0.0183539,0.105317,-0.0101041,1.58059
0.127125,-0.0222091,0.084,0.0183637,0.106586,-0.0107807,1.58058
0.127125,-0.0222091,0.084,0.0188709,0.107782,-0.0114179,1.58057
0.127125,-0.0222091,0.084,0.0188812,0.108908,-0.012018,1.58057
0.127125,-0.0222091,0.084,0.0188829,0.109969,-0.0125831,1.58056
